model,split,r2,rmse,mae
RF_descriptors,valid,0.5490611007956805,0.7963917719855852,0.6005142497908742
RF_descriptors,test,0.47281403584565485,0.8758317431476527,0.6577659332610474
SVR_descriptors,valid,0.48388988371985897,0.8519990296198536,0.6311535747121442
SVR_descriptors,test,0.4801656612305917,0.8697035526420702,0.6615233919279717
XGB_desc_fp,valid,0.7388110756874084,0.6061014130971598,0.4528016448020935
XGB_desc_fp,test,0.6834608316421509,0.6786603730391735,0.5075300335884094
PyTorch_MLP_desc_fp,valid,0.7428046464920044,0.6014499559029352,0.46170857548713684
PyTorch_MLP_desc_fp,test,0.6495634317398071,0.714074393075277,0.5229060649871826
