feature,feature_value,shap_value
MolLogP,1.711198,0.7870860343277575
fr_COO,-0.33571726,0.15736612413460133
PEOE_VSA6,3.1191041,0.15073214063391577
Morgan_0074,1.0,0.0841521107184059
SMR_VSA7,2.2773638,0.073549042537958
Morgan_1823,1.0,0.07009518469527246
TPSA,-2.1812685,0.059647546382259366
VSA_EState5,-0.18326046,-0.05424837440345631
