version,model,r2,rmse,mae
baseline_20260307,XGB_desc_fp,0.6834608316421509,0.6786603730391735,0.5075300335884094
enhanced_20260308,Weighted_Ensemble_rich,0.7231979370117188,0.6346341275679611,0.45173126459121704
