feature,feature_value,shap_value
SMR_VSA10,-1.8811063,-0.39677437873421756
MolLogP,-0.007263306,0.2063691099801823
fr_COO,-0.33571726,0.12398085259668716
FpDensityMorgan1,-3.4078624,0.09805866979373104
FpDensityMorgan3,-4.328758,0.09329839158797945
FpDensityMorgan2,-4.085855,0.08960990376629513
MACCS_104,1.0,-0.0728798624867041
RingCount,-1.2677501,-0.060313177007325004
